"","lwage","educ","nearc4","smsa","exper","expersq","fatheduc","motheduc","age","black","south","IQ","married"
"1",6.30627536773682,7,0,1,16,256,NA,NA,29,1,0,NA,1
"2",6.17586708068848,12,0,1,9,81,8,8,27,0,0,93,1
"3",6.58063936233521,12,0,1,16,256,14,12,34,0,0,103,1
"4",5.52146100997925,11,1,1,10,100,11,12,27,0,0,88,1
"5",6.59167385101318,12,1,1,16,256,8,7,34,0,0,108,1
"6",6.21460819244385,12,1,1,8,64,9,12,26,0,0,85,1
"7",6.33682584762573,18,1,1,9,81,14,14,33,0,0,119,1
"8",6.41017484664917,14,1,1,9,81,14,14,29,0,0,108,1
"9",6.05208921432495,12,1,1,10,100,12,12,28,0,0,96,4
"10",6.2441668510437,12,1,1,11,121,12,12,29,0,0,97,1
"11",5.41610050201416,9,1,1,13,169,11,12,28,0,0,84,1
"12",5.99146461486816,12,1,1,8,64,11,6,26,0,0,89,1
"13",6.03308629989624,11,1,1,7,49,11,6,24,0,0,93,1
"14",5.37989711761475,11,1,1,13,169,11,6,30,0,0,74,1
"15",6.79570579528809,16,1,1,9,81,NA,8,31,1,0,116,1
"16",5.70378255844116,14,1,1,4,16,15,12,24,0,0,NA,6
"17",5.84643888473511,12,1,1,16,256,12,8,34,0,0,93,1
"18",6.48920488357544,14,1,1,9,81,NA,12,29,0,0,100,1
"19",6.3543701171875,10,1,1,10,100,8,8,26,0,0,91,6
"20",6.47543287277222,12,1,1,14,196,8,8,32,0,0,88,1
"21",6.85012626647949,18,1,1,8,64,12,13,32,0,1,NA,1
"22",6.41999483108521,18,1,1,10,100,NA,8,34,0,0,114,1
"23",6.58755016326904,15,1,0,11,121,5,14,32,0,0,111,1
"24",6.40357398986816,12,1,1,10,100,14,12,28,0,0,NA,1
"25",6.54102993011475,12,1,1,14,196,11,12,32,0,0,95,1
"26",7.24422740936279,18,1,0,10,100,14,13,34,0,0,132,1
"27",5.70378255844116,12,1,1,8,64,7,12,26,0,0,NA,6
"28",7.49554204940796,18,1,1,8,64,16,16,32,0,0,109,5
"29",6.02344751358032,12,1,1,7,49,11,12,25,0,0,108,1
"30",6.44888925552368,14,1,0,9,81,NA,16,29,0,0,102,1
"31",5.33753824234009,12,1,1,7,49,12,12,25,0,0,106,1
"32",6.12468338012695,12,1,1,7,49,NA,11,25,1,0,104,6
"33",6.71417045593262,16,1,1,2,4,10,10,24,0,0,119,1
"34",6.35784244537354,18,1,1,10,100,NA,12,34,0,0,122,1
"35",5.54126358032227,11,1,1,11,121,6,10,28,0,0,90,1
"36",6.86901426315308,16,1,1,8,64,12,12,30,0,0,118,1
"37",6.85012626647949,10,1,1,15,225,8,6,31,0,0,105,1
"38",7.04403305053711,18,1,1,10,100,8,11,34,0,0,115,1
"39",5.78074359893799,6,1,1,15,225,2,6,27,0,0,NA,1
"40",5.45958566665649,11,1,1,7,49,6,12,24,1,0,65,5
"41",6.90775537490845,12,1,1,16,256,11,10,34,0,0,120,1
"42",6.17586708068848,9,1,1,11,121,NA,12,26,0,0,86,4
"43",6.43615055084229,15,1,1,11,121,10,12,32,0,0,109,1
"44",6.47697257995605,11,1,1,17,289,8,10,34,0,0,72,1
"45",5.84064149856567,12,1,1,6,36,NA,10,24,1,0,NA,6
"46",5.94017124176025,16,1,1,2,4,12,10,24,0,1,NA,6
"47",5.86646795272827,12,1,1,6,36,12,11,24,0,0,101,1
"48",6.49072360992432,13,1,1,6,36,NA,12,25,0,0,105,6
"49",6.43133115768433,17,1,1,5,25,10,10,28,0,0,136,1
"50",6.0867748260498,12,1,1,7,49,10,11,25,0,0,101,1
"51",6.60394382476807,12,1,1,8,64,12,10,26,1,0,96,6
"52",5.63478946685791,11,1,0,14,196,5,5,31,1,1,NA,1
"53",6.07304430007935,10,1,1,8,64,5,NA,24,0,0,NA,1
"54",6.55819797515869,12,1,1,9,81,NA,8,27,0,0,101,1
"55",6.05208921432495,12,1,1,9,81,10,12,27,0,0,91,1
"56",6.34738922119141,12,1,1,6,36,NA,4,24,0,0,NA,1
"57",6.28785848617554,16,1,1,8,64,12,12,30,0,0,115,6
"58",6.60665035247803,16,1,1,10,100,12,12,32,0,0,113,1
"59",6.51174545288086,13,1,1,13,169,10,12,32,0,0,123,1
"60",6.64509105682373,12,1,1,16,256,10,10,34,0,0,95,1
"61",6.38350677490234,12,1,1,6,36,10,10,24,0,0,102,1
"62",5.36129236221313,9,1,1,9,81,12,11,24,1,0,NA,6
"63",7.35436248779297,16,1,1,12,144,12,12,34,0,0,145,1
"64",6.65157175064087,16,1,1,6,36,11,11,28,0,0,114,1
"65",6.39692974090576,12,1,1,8,64,8,9,26,0,1,113,1
"66",6.54102993011475,18,1,1,0,0,16,16,24,0,0,NA,6
"67",6.34563636779785,13,1,1,12,144,8,12,31,0,0,93,5
"68",6.07073783874512,14,1,1,8,64,12,12,28,0,0,NA,5
"69",6.28785848617554,15,1,1,7,49,12,12,28,0,0,119,2
"70",6.44094657897949,12,1,1,7,49,12,9,25,0,0,108,6
"71",6.17586708068848,8,1,1,17,289,12,11,31,0,0,NA,1
"72",6.30078601837158,12,1,1,8,64,6,11,26,0,0,72,1
"73",6.35610771179199,12,1,1,7,49,12,9,25,0,0,86,1
"74",6.55108022689819,16,1,1,3,9,14,12,25,0,0,123,1
"75",6.66949796676636,16,1,1,6,36,12,12,28,0,0,103,1
